language,location,latitude,longitude,Degree of endangerment
Bavarian,"Germany, Austria, Hungary, Italy, Switzerland, Czech Republic",49.7391052,15.331501,Vulnerable
Bawm,"Bangladesh, India",23.4060116,79.4580917,Definitely endangered
Bay Islands Creole,Honduras,14.9750328,-86.2647705,Critically endangered
Bayot,Senegal,14.3625116,-14.5316439,Vulnerable
Bayso,Ethiopia,8.6267033,39.6375542,Definitely endangered
Beaver,Canada,62.8329086,-95.9133224,Definitely endangered
Bedoanas,Indonesia,-1.248089,115.4189987,Vulnerable
Beeke,Democratic Republic of the Congo,-2.8798659,23.6563778,Severely endangered
Beezen,Cameroon,5.6854768,12.7228785,Severely endangered
Belanda Bor,Sudan,16.0857849,30.0873909,Definitely endangered
Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",63.1251869,103.7539825,Vulnerable
Beli,Sudan,16.0857849,30.0873909,Definitely endangered
Bella Coola,Canada,62.8329086,-95.9133224,Critically endangered
Bellari,India,23.4060116,79.4580917,Critically endangered
Benga,"Gabon, Equatorial Guinea",1.533126,10.3725805,Definitely endangered
Benggoi,Indonesia,-1.248089,115.4189987,Definitely endangered
Bepour,Papua New Guinea,-6.8891602,146.214447,Severely endangered
Berbice Dutch Creole,Guyana,4.9173112,-58.9434624,Critically endangered
Besme,Chad,15.3676529,18.6675816,Severely endangered
Besoa,Indonesia,-1.248089,115.4189987,Vulnerable
Bezhta,Russian Federation,63.1251869,103.7539825,Definitely endangered
Bhadravahi,"India, Pakistan",23.4060116,79.4580917,Definitely endangered
Bhalesi,India,23.4060116,79.4580917,Definitely endangered
Bharmauri,India,23.4060116,79.4580917,Definitely endangered
Bhumji,India,23.4060116,79.4580917,Vulnerable
Biak,Indonesia,-1.248089,115.4189987,Vulnerable
Bierebo,Vanuatu,-16.3766842,167.5625,Vulnerable
Bieria,Vanuatu,-16.3766842,167.5625,Critically endangered
Biete,India,23.4060116,79.4580917,Definitely endangered
Bikaru,Papua New Guinea,-6.8891602,146.214447,Severely endangered
Bikya,Cameroon,5.6854768,12.7228785,Critically endangered
Bilakura,Papua New Guinea,-6.8891602,146.214447,Critically endangered
Birhor,India,23.4060116,79.4580917,Critically endangered
Birri,Central African Republic,6.5741229,20.4869232,Critically endangered
Bishnupriya Manipuri Creole,"Bangladesh, India",23.4060116,79.4580917,Vulnerable
Bishuo,Cameroon,5.6854768,12.7228785,Critically endangered
Bisu,"Myanmar, Thailand",14.4845819,100.8519135,Definitely endangered
Blablanga,Solomon Islands,-9.5481129,160.0193024,Definitely endangered
Black Mountain,Bhutan,27.4168797,90.434761,Definitely endangered
Blackfoot (Canada),Canada,62.8329086,-95.9133224,Definitely endangered
Blackfoot (United States of America),United States of America,39.4432564,-98.9573364,Definitely endangered
Boano,Indonesia,-1.248089,115.4189987,Vulnerable
Bodo,India,23.4060116,79.4580917,Vulnerable
Boguru,"Democratic Republic of the Congo, Sudan",-2.8798659,23.6563778,Critically endangered
Bohtan Neo-Aramaic,"Georgia, Russian Federation",63.1251869,103.7539825,Severely endangered
Bokar,"China, India",31.8989391,75.2683029,Vulnerable
Bola,China,36.5530853,103.9754333,Definitely endangered
Bolo,Angola,-12.3335552,17.539465,Definitely endangered
Bom,Sierra Leone,8.5214415,-11.8438902,Severely endangered
Bonan,China,36.5530853,103.9754333,Definitely endangered
Bonerif,Indonesia,-1.248089,115.4189987,Critically endangered
Bong'om,Kenya,0.576503,37.8398895,Definitely endangered
Bonggo,Indonesia,-1.248089,115.4189987,Severely endangered
Bongo,Sudan,16.0857849,30.0873909,Definitely endangered
Boni,Kenya,0.576503,37.8398895,Definitely endangered
Bonjo,Congo,-2.8798659,23.6563778,Severely endangered
Boor,Chad,15.3676529,18.6675816,Critically endangered
Bora,"Colombia, Peru",3.997607,-73.2779694,Vulnerable
Bori,"China, India",31.8989391,75.2683029,Definitely endangered
Boro,,,,Definitely endangered
Bororo,Brazil,-10.8104525,-52.9731178,Definitely endangered
Boruca,Costa Rica,9.8849916,-84.2272339,Critically endangered
Bosilewa,Papua New Guinea,-6.8891602,146.214447,Vulnerable
Bothar,Papua New Guinea,-6.8891602,146.214447,Severely endangered
Botlikh,Russian Federation,63.1251869,103.7539825,Definitely endangered
Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan",29.9232197,69.3577423,Vulnerable
Brao,"Cambodia, Lao People's Democratic Republic, Viet Nam",18.6507492,104.1529388,Severely endangered
Breton,France,46.6372795,2.3382621,Severely endangered
Bribri (Costa Rica),Costa Rica,9.8849916,-84.2272339,Vulnerable
Bribri (Panama),Panama,8.6462479,-80.506073,Severely endangered
Brokkat,Bhutan,27.4168797,90.434761,Definitely endangered
Brokpa,Bhutan,27.4168797,90.434761,Definitely endangered
Brokshat,India,23.4060116,79.4580917,Definitely endangered
Bru,Thailand,14.4845819,100.8519135,Definitely endangered
Bubia,Cameroon,5.6854768,12.7228785,Severely endangered
Budibud,Papua New Guinea,-6.8891602,146.214447,Vulnerable
Budong-Budong,Indonesia,-1.248089,115.4189987,Critically endangered
Budukh,Azerbaijan,40.3310051,47.8082008,Severely endangered
Buga,Sudan,16.0857849,30.0873909,Critically endangered
BuglÃ©,Panama,8.6462479,-80.506073,Definitely endangered
Bukharic,Uzbekistan,41.7723923,63.1458893,Definitely endangered
Bukiyip,Papua New Guinea,-6.8891602,146.214447,Vulnerable
Bulgebi,Papua New Guinea,-6.8891602,146.214447,Definitely endangered
Bumbita Arapesh,Papua New Guinea,-6.8891602,146.214447,Vulnerable
Bumthang,Bhutan,27.4168797,90.434761,Vulnerable
Bunan,India,23.4060116,79.4580917,Definitely endangered
Bundjalung,Australia,-25.5852413,134.5041199,Severely endangered
Bung,Cameroon,5.6854768,12.7228785,Critically endangered
Bungee,Canada,62.8329086,-95.9133224,Critically endangered
Bunuba,Australia,-25.5852413,134.5041199,Severely endangered
Bunun,China,36.5530853,103.9754333,Vulnerable
Burate,Indonesia,-1.248089,115.4189987,Severely endangered
Burgenland Croatian,"Austria, Hungary, Slovakia",48.7074852,19.48489,Definitely endangered
Burgundian,France,46.6372795,2.3382621,Severely endangered
Burji,Kenya,0.576503,37.8398895,Vulnerable
Burunge,United Republic of Tanzania,-6.3068972,34.8539276,Vulnerable
Burushaski,Pakistan,29.9232197,69.3577423,Vulnerable
Buryat (Cis-Baikal),Russian Federation,63.1251869,103.7539825,Severely endangered
Buryat (Manchuria),"China, Mongolia",46.8364792,103.0668945,Definitely endangered
Buryat (Trans-Baikal),Russian Federation,63.1251869,103.7539825,Definitely endangered
Busoa,Indonesia,-1.248089,115.4189987,Vulnerable
Bussa,Ethiopia,8.6267033,39.6375542,Vulnerable
Busuu,Cameroon,5.6854768,12.7228785,Critically endangered
Buyang,China,36.5530853,103.9754333,Severely endangered
Bwisi,"Congo, Gabon",-0.63454,11.7386084,Definitely endangered
Byangsi,"India, Nepal",31.8298397,74.6894531,Definitely endangered
Caac,New Caledonia (France),-20.0509777,165.0738678,Vulnerable
CabÃ©car,Costa Rica,9.8849916,-84.2272339,Vulnerable
CabiyarÃ­,Colombia,3.997607,-73.2779694,Critically endangered
Cacua,Colombia,3.997607,-73.2779694,Severely endangered
Caddo,United States of America,39.4432564,-98.9573364,Critically endangered
Cahuilla,United States of America,39.4432564,-98.9573364,Critically endangered
Callahuaya,Bolivia (Plurinational State of),-16.7130547,-64.6666489,Critically endangered
Camarines Norte Agta,Philippines,11.1126661,122.5094757,Severely endangered
Cambap,Cameroon,5.6854768,12.7228785,Critically endangered
Campidanese,Italy,42.7669792,12.4938231,Definitely endangered
CamsÃ¡,Colombia,3.997607,-73.2779694,Definitely endangered
Candoshi,Peru,-9.212533,-74.4221191,Definitely endangered
Capanahua,Peru,-9.212533,-74.4221191,Severely endangered
Cappadocian Greek (Greece),Greece,39.6843719,21.8974094,Critically endangered
Caquinte Campa,Peru,-9.212533,-74.4221191,Definitely endangered
Carapana (Brazil),Brazil,-10.8104525,-52.9731178,Severely endangered
Carapana (Colombia),Colombia,3.997607,-73.2779694,Definitely endangered
Carijona,Colombia,3.997607,-73.2779694,Critically endangered
Carrier,Canada,62.8329086,-95.9133224,Severely endangered
Cashibo-Cacataibo,Peru,-9.212533,-74.4221191,Definitely endangered
Cashinahua (Brazil),Brazil,-10.8104525,-52.9731178,Vulnerable
